Distr;D_stats;p_value;Parameters
gumbel_l;0.063665;0.033000;(0.9874019077168678, 0.005138739292256088)
powernorm;0.063981;0.032000;(119.72552594747987, 1.0213499661884864, 0.014306535555625655)
johnsonsu;0.065323;0.027000;(10.213341855662474, 4.559661043249253, 1.0110583675782623, 0.005569467275910612)
pearson3;0.065630;0.026000;(-0.6480678006804796, 0.984559856759734, 0.006019642039812484)
beta;0.065632;0.026000;(167840187.37152755, 9.523204490171711, -327400.579695523, 327401.582831996)
exponpow;0.078411;0.004000;(4.772261883953308, 0.9513059199203145, 0.03912869822749841)
exponweib;0.557286;0.000000;(0.2514963931529841, 1.1629054543795334, 0.953620218579235, 0.6864335164175501)
johnsonsb;0.108663;0.000000;(20130602.778278172, 73912657.18181476, -780143.8705829841, 1804518.1159179932)
gengamma;0.583780;0.000000;(0.22737817958964238, 1.234287394680479, 0.953620218579235, 1.349061691886078)
Distr;D_stats;p_value;Parameters
beta;0.027683;0.828000;(13.403488489008033, 4.110672381180441, 0.9374395848323022, 0.061719740288476994)
exponweib;0.032715;0.646000;(0.5252770199151209, 8.854575837237991, 0.9550508553158494, 0.03472636234121915)
gengamma;0.032754;0.644000;(0.4893867205291636, 9.396511587367225, 0.9551633685406852, 0.035664375687997706)
pearson3;0.033471;0.617000;(-0.7213481110277788, 0.9846743911389655, 0.006150262107552394)
johnsonsu;0.036542;0.505000;(10.384183143381144, 4.032971678428527, 1.0088689962838537, 0.0035948486884647014)
johnsonsb;0.037154;0.484000;(-2.277365216879039, 2.0666590468990123, 0.935445598210852, 0.06668186446871574)
powernorm;0.037939;0.457000;(506.77957284705076, 1.0353408259747492, 0.016658377625516696)
exponpow;0.043144;0.301000;(4.032226347641007, 0.9568551978247082, 0.03365779500376599)
gumbel_l;0.043681;0.287000;(0.987561484211243, 0.005153329145942325)
Distr;D_stats;p_value;Parameters
johnsonsu;0.029592;0.762000;(9.48772784293049, 4.617545979972132, 1.011243922627965, 0.006821151163706178)
gengamma;0.029872;0.752000;(1.3733200724358683, 11.985972813312653, 0.9109098811682306, 0.07381340779024555)
exponweib;0.030004;0.747000;(1.2383940380324168, 11.61337391715126, 0.9180737001106651, 0.06796480489728204)
pearson3;0.030283;0.737000;(-0.6064109588367812, 0.984438097087331, 0.006053175218543847)
powernorm;0.030351;0.734000;(96.8684928245287, 1.0196041303785863, 0.014087598137730237)
johnsonsb;0.030378;0.733000;(-7.357978436662785, 3.6404011551215234, 0.801107198664322, 0.20832459167890638)
beta;0.034563;0.577000;(5506181.563177271, 9.192248785527642, -11119.772815087232, 11120.775811705393)
gumbel_l;0.052927;0.117000;(0.9873002996768983, 0.005207475143070184)
exponpow;0.054516;0.099000;(4.177057217887729, 0.9547613352666291, 0.035589770406033935)
Distr;D_stats;p_value;Parameters
gumbel_l;0.036147;0.519000;(0.987288054297565, 0.005058092055234059)
pearson3;0.038806;0.428000;(-0.7197638882765358, 0.9844505012423019, 0.006059896970363968)
beta;0.038840;0.427000;(788.2241895099021, 7.566440108295812, -0.7608694193688076, 1.7620740210530537)
johnsonsu;0.038864;0.426000;(9.815690293019365, 3.8542670812436217, 1.007272051754792, 0.003477845721271201)
powernorm;0.039320;0.412000;(1150.1629644487175, 1.0418670702462904, 0.01749123092883361)
johnsonsb;0.074113;0.008000;(26336.589245185547, 77653.220156713, -804.4460956227672, 1936.0640738632355)
exponweib;0.594032;0.000000;(0.2332192578131987, 1.2351807193001803, 0.9544278758368837, 0.9905927474646818)
exponpow;0.459099;0.000000;(0.8676785456025536, 0.9544278758368836, 0.04131916641376473)
gengamma;0.578772;0.000000;(0.19165820242515325, 1.4546704242256836, 0.9544278758368837, 1.3022221182609053)
