Distr;D_stats;p_value;Parameters
exponweib;0.047996;0.193000;(0.36734074161592034, 11.584113555784773, 0.9478162386710403, 0.043680401849808544)
exponpow;0.049384;0.169000;(4.596429089989863, 0.9461774872037694, 0.044812079217964734)
johnsonsb;0.049485;0.167000;(-1.7795222077971753, 1.580815878652151, 0.935566280433488, 0.0655429988944631)
beta;0.051708;0.133000;(16.01888978528286, 3.3170450005951477, 0.9088656043597285, 0.09063256903626071)
pearson3;0.056804;0.076000;(-0.9142697826524194, 0.9839514719221316, 0.007686883338361051)
gumbel_l;0.060612;0.049000;(0.9874813505523097, 0.0061655320599112145)
johnsonsu;0.060716;0.048000;(9.462040804329252, 3.1263226923050755, 1.007413728841446, 0.0021671811750769727)
powernorm;0.062781;0.037000;(2782.800593356924, 1.065242201061003, 0.023052717243390322)
gengamma;0.588129;0.000000;(0.1615831952989645, 1.7733717406540124, 0.9552826691380908, 1.2354375517801155)
